#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 20546019, SEN S/N: 20546019, LBL: Temperature, -UV)","Intensity, Lux (LGR S/N: 20546019, SEN S/N: 20546019, LBL: Light Intensity, -UV)"
451,2/18/19 23:30,-1.114,0
452,2/19/19 0:00,-1.341,0
453,2/19/19 0:30,-1.341,0
454,2/19/19 1:00,-1.57,0
455,2/19/19 1:30,-1.799,0
456,2/19/19 2:00,-1.799,0
457,2/19/19 2:30,-1.799,0
458,2/19/19 3:00,-1.914,0
459,2/19/19 3:30,-2.145,0
460,2/19/19 4:00,-2.145,0
461,2/19/19 4:30,-2.377,0
462,2/19/19 5:00,-2.494,0
463,2/19/19 5:30,-2.844,0
464,2/19/19 6:00,-2.962,0
465,2/19/19 6:30,-3.079,1356.3
466,2/19/19 7:00,-2.61,3100
467,2/19/19 7:30,-1.799,6200
468,2/19/19 8:00,-0.325,20666.8
469,2/19/19 8:30,-0.437,11022.3
470,2/19/19 9:00,-0.102,6200
471,2/19/19 9:30,0.563,7233.4
472,2/19/19 10:00,7.983,126756.4
473,2/19/19 10:30,7.179,115734.1
474,2/19/19 11:00,15.951,198401.3
475,2/19/19 11:30,18.426,198401.3
476,2/19/19 12:00,20.424,198401.3
477,2/19/19 12:30,20.329,187379
478,2/19/19 13:00,19.853,176356.7
479,2/19/19 13:30,22.525,159823.3
480,2/19/19 14:00,20.615,137778.7
481,2/19/19 14:30,19.758,115734.1
482,2/19/19 15:00,18.14,88178.4
483,2/19/19 15:30,14.804,60622.6
484,2/19/19 16:00,2.624,4305.6
485,2/19/19 16:30,1.112,3444.5
486,2/19/19 17:00,0.343,2411.1
487,2/19/19 17:30,-0.437,710.4
488,2/19/19 18:00,-1.001,0
489,2/19/19 18:30,-0.887,0
490,2/19/19 19:00,-1.001,0
491,2/19/19 19:30,-0.887,0
492,2/19/19 20:00,-1.228,0
493,2/19/19 20:30,-1.001,0
494,2/19/19 21:00,-1.341,0
495,2/19/19 21:30,-2.261,0
496,2/19/19 22:00,-2.844,0
497,2/19/19 22:30,-2.03,0
498,2/19/19 23:00,-2.03,0
499,2/19/19 23:30,-2.962,0
500,2/20/19 0:00,-2.61,0
501,2/20/19 0:30,-1.684,0
502,2/20/19 1:00,-2.261,0
503,2/20/19 1:30,-1.799,0
504,2/20/19 2:00,-1.799,0
505,2/20/19 2:30,-2.844,0
506,2/20/19 3:00,-3.434,0
507,2/20/19 3:30,-3.197,0
508,2/20/19 4:00,-3.672,0
509,2/20/19 4:30,-3.792,0
510,2/20/19 5:00,-3.911,0
511,2/20/19 5:30,-2.844,0
512,2/20/19 6:00,-2.03,0
513,2/20/19 6:30,-1.799,2325
514,2/20/19 7:00,-0.662,9644.5
515,2/20/19 7:30,1.112,23422.4
516,2/20/19 8:00,2.303,22044.6
517,2/20/19 8:30,1.112,8611.2
518,2/20/19 9:00,1.764,10677.8
519,2/20/19 9:30,4.415,38578
520,2/20/19 10:00,9.571,77156.1
521,2/20/19 10:30,12.401,126756.4
522,2/20/19 11:00,12.883,159823.3
523,2/20/19 11:30,19.567,104711.8
524,2/20/19 12:00,13.269,71644.9
525,2/20/19 12:30,17.379,121245.2
526,2/20/19 13:00,12.11,44089.2
527,2/20/19 13:30,7.582,39955.8
528,2/20/19 14:00,7.983,44089.2
529,2/20/19 14:30,11.625,52355.9
530,2/20/19 15:00,15.091,88178.4
531,2/20/19 15:30,9.571,24800.2
532,2/20/19 16:00,5.962,13089
533,2/20/19 16:30,4.831,6200
534,2/20/19 17:00,3.578,1550
535,2/20/19 17:30,2.837,204.5
536,2/20/19 18:00,1.872,0
537,2/20/19 18:30,1.548,0
538,2/20/19 19:00,1.112,0
539,2/20/19 19:30,1.33,0
540,2/20/19 20:00,-0.325,0
541,2/20/19 20:30,0.784,0
542,2/20/19 21:00,0.674,0
543,2/20/19 21:30,-0.325,0
544,2/20/19 22:00,0.563,0
545,2/20/19 22:30,0.674,0
546,2/20/19 23:00,0.453,0
547,2/20/19 23:30,0.232,0
548,2/21/19 0:00,0.563,0
549,2/21/19 0:30,0.784,0
550,2/21/19 1:00,0.784,0
551,2/21/19 1:30,0.784,0
552,2/21/19 2:00,0.893,0
553,2/21/19 2:30,0.893,0
554,2/21/19 3:00,0.893,0
555,2/21/19 3:30,0.893,0
556,2/21/19 4:00,0.893,0
557,2/21/19 4:30,0.893,0
558,2/21/19 5:00,0.893,0
559,2/21/19 5:30,0.893,0
560,2/21/19 6:00,0.893,0
561,2/21/19 6:30,0.893,10.8
562,2/21/19 7:00,0.893,75.3
563,2/21/19 7:30,0.893,301.4
