site,Fv/Fm,Fo,Fm,e'PS2R,NPQ,Time,Treatment,Exp
5,0.488,230,449,0.286,1.041,24,UV Transmitted,UV Test
6,0.524,175,368,0.295,1.091,24,UV Transmitted,UV Test
7,0.626,201,538,0.382,1.187,24,UV Transmitted,UV Test
8,0.563,198,453,0.379,0.443,24,UV Transmitted,UV Test
9,0.489,218,427,0.339,1.542,24,UV Transmitted,UV Test
11,0.775,55,244,0.549,1.681,24,Site Reference,UV Test
12,0.693,126,410,0.488,2.333,24,Site Reference,UV Test
13,0.635,76,208,0.435,0.175,24,Site Reference,UV Test
14,0.632,180,489,0.432,1.374,24,Site Reference,UV Test
15,0.571,96,224,0.352,0.067,24,Site Reference,UV Test
16,0.561,156,355,0.358,0.898,24,Site Reference,UV Test
17,0.565,161,370,0.381,1.102,24,Site Reference,UV Test
18,0.585,192,463,0.383,0.809,24,Site Reference,UV Test
19,0.721,46,165,0.521,0.162,24,Site Reference,UV Test
1,0.592,168,412,0.376,1.276,24,Site Reference,UV Test
20,0.575,135,318,0.35,0.797,24,Site Reference,UV Test
2,0.592,125,306,0.385,1.508,24,Site Reference,UV Test
3,0.66,117,344,0.472,1.137,24,Site Reference,UV Test
4,0.681,76,238,0.447,0.097,24,Site Reference,UV Test
5,0.593,149,366,0.427,1.44,24,Site Reference,UV Test
6,0.631,131,355,0.423,0.296,24,Site Reference,UV Test
7,0.71,64,221,0.462,0.857,24,Site Reference,UV Test
8,0.609,136,348,0.441,1.161,24,Site Reference,UV Test
9,0.616,73,190,0.411,1.603,24,Site Reference,UV Test
11,0.783,207,954,0.58,1.599,192,UV Filtered,UV Test
12,0.706,123,419,0.503,0.406,192,UV Filtered,UV Test
13,0.776,125,557,0.567,0.211,192,UV Filtered,UV Test
14,0.814,195,1049,0.583,1.546,192,UV Filtered,UV Test
15,0.795,184,898,0.556,1.414,192,UV Filtered,UV Test
16,0.805,223,1144,0.579,1.797,192,UV Filtered,UV Test
