Sample,Site,Treatment Group,Data Type,Treatment ,neoxanthin,violaxanthin,antheraxanthin,lutein,zeaxanthin,chlorophyll b,beta-carotene.sum,beta-tocopherol,alpha-tocopherol,V+A+Z,A+Z/V+A+Z,total carotenoids,total tocopherols
16C-2,16,C,sample,Site Reference,107.3493995,11.82516351,37.32787684,536.3056546,176.6885952,265.9087115,231.5608046,5.534506994,14.40507389,225.8416355,0.947639577,1101.057494,19.93958089
16C-3,16,C,sample,Site Reference,117.6428359,15.1881166,43.28557255,529.6789022,179.9735481,284.9420346,233.2148721,5.608481776,14.73642575,238.4472373,0.936304078,1118.983847,20.34490753
16C-mean,16,C,mean,Site Reference,107.4376947,14.08464919,38.66026766,581.7831658,191.8634124,288.1225853,275.4516693,6.30962853,16.2517832,244.6083293,0.94246653,1209.280859,22.56141173
16C-dev,16,C,dev,Site Reference,8.29665147,1.597841682,3.367095372,69.05374971,19.18455057,19.56569173,60.90519729,1.04431608,2.381185727,18.36248308,0.004680283,140.5657459,3.42521892
17A,17,A,sample,UV Filtered,128.4680917,32.1020047,55.06030174,807.1473539,275.5622237,295.9422746,525.61217,14.53651976,37.85295127,362.7245302,0.911497563,1823.952146,52.38947102
17A-2,17,A,sample,UV Filtered,111.6289628,21.48140834,36.00739593,474.3885449,140.00408,309.8337815,194.976648,4.023980342,11.16998632,197.4928843,0.891229457,978.48704,15.19396666
17A-3,17,A,sample,UV Filtered,113.7175952,24.48099402,36.50441541,450.7130218,155.8349285,297.1289003,128.7688616,3.717281545,10.67061683,216.8203379,0.887090878,910.0198166,14.38789837
17A-mean,17,A,mean,UV Filtered,117.9382166,26.02146902,42.52403769,577.4163069,190.4670774,300.9683188,283.1192265,7.425927216,19.89785147,259.0125841,0.896605966,1237.486334,27.32377869
17A-dev,17,A,dev,UV Filtered,7.494411225,4.470575218,8.86679928,162.731677,60.5174459,6.287518956,173.5856915,5.029506986,12.69780949,73.75867601,0.010664637,415.634897,17.72717567
17B,17,B,sample,UV Transmitted,125.7546353,30.4953712,43.61147175,488.9999772,152.77504,290.4117103,332.142457,3.838368847,16.10201432,226.881883,0.865589219,1173.778952,19.94038317
17B-2,17,B,sample,UV Transmitted,95.04453259,13.99298975,36.36551831,413.3755639,122.8596364,321.0819119,220.9612449,6.796241069,9.924422372,173.2181444,0.919217529,902.5994858,16.72066344
17B-3,17,B,sample,UV Transmitted,122.742231,24.79492828,40.35929246,452.7337508,135.8264297,336.1713967,250.1701898,3.412044309,15.24425382,200.9806504,0.876630272,1026.626822,18.65629813
17B-mean,17,B,mean,UV Transmitted,114.5137997,23.09442974,40.11209417,451.7030973,137.153702,315.8883397,267.7579639,4.682218075,13.75689684,200.360226,0.887145673,1034.335087,18.43911491
17B-dev,17,B,dev,UV Transmitted,15.35505137,8.251190726,3.622976722,37.81220663,14.95770183,15.33510081,55.59060604,1.478936111,3.088795975,26.83186928,0.026814155,135.5897333,1.609859864
17C,17,C,sample,Site Reference,102.463351,11.49842135,31.70184769,694.7477394,238.2643069,223.1052388,654.2430931,9.191256975,29.60264197,281.4645759,0.959147892,1732.918759,38.79389894
17C-2,17,C,sample,Site Reference,94.96192528,10.88219137,32.30622494,450.3396154,163.5700586,294.829061,180.871122,3.837402325,10.68731138,206.758475,0.947367616,932.9311376,14.5247137
17C-3,17,C,sample,Site Reference,120.3780512,19.15608747,38.34106641,480.0684099,166.2531153,286.7648603,238.3667415,4.027964595,13.73363348,223.7502691,0.914386304,1062.563472,17.76159808
17C-mean,17,C,mean,Site Reference,105.9344425,13.84556673,34.11637968,541.7185882,189.3624936,268.2330534,357.8269855,5.685541298,18.00786228,237.32444,0.940300604,1242.804456,23.69340357
17C-dev,17,C,dev,Site Reference,10.66243314,3.763522975,2.997476875,108.8864581,34.59614819,32.07956328,210.9080656,2.480135789,8.292535063,31.97336356,0.018944778,350.5806214,10.7591225
18A-2,18,A,sample,UV Filtered,85.52102811,19.3855338,33.79593208,432.8904232,165.5939907,296.1544069,188.636982,4.753807777,13.329174,218.7754566,0.911390729,925.8238899,18.08298177
18A-3,18,A,sample,UV Filtered,93.16660918,17.49819037,34.70001756,436.2669695,155.4868595,259.1075618,141.7896487,4.864808474,13.59167723,207.6850674,0.915746517,878.9082948,18.4564857
18A-4,18,A,sample,UV Filtered,101.2793878,23.12581187,30.31928554,387.1906582,114.6796408,272.5616308,124.6485323,3.239701438,9.314085207,168.1247382,0.862448488,781.2433165,12.55378664
18A-mean,18,A,mean,UV Filtered,93.32234168,20.00317868,32.93841173,418.7826836,145.253497,275.9411998,151.691721,4.286105896,12.07831214,198.1950874,0.896528578,861.9918337,16.36441804
18A-dev,18,A,dev,UV Filtered,6.434265782,2.33860996,1.888422467,22.38142561,22.00922589,15.31194084,27.0452547,0.741306058,1.957539255,21.73965052,0.024163783,60.22463805,2.698834318
18B,18,B,sample,UV Transmitted,115.6053635,22.9139966,39.86041065,602.0039034,209.9866614,314.7635314,366.3664936,4.864296517,20.78841012,272.7610686,0.915992423,1356.736829,25.65270664
18B-2,18,B,sample,UV Transmitted,98.08993453,28.25348388,41.81796425,462.7958017,164.7285997,242.1613003,293.5353962,3.832069307,12.15317531,234.8000479,0.879670025,1089.22118,15.98524462
18B-3,18,B,sample,UV Transmitted,97.23182242,16.96173519,38.66926431,420.0727824,152.3130845,282.7927247,141.1741484,3.382904883,9.335223363,207.944084,0.918431268,866.4228372,12.71812825
18B-4,18,B,sample,UV Transmitted,105.8990814,15.91435118,36.90171922,455.2202737,151.6505495,283.1760976,193.7190589,4.220992623,13.06358702,204.4666199,0.922166507,959.3050339,17.28457964
18B-mean,18,B,mean,UV Transmitted,104.2065505,21.01089171,39.31233961,485.0231903,169.6697238,280.7234135,248.6987742,4.075065833,13.83509895,229.9929551,0.909065056,1067.92147,17.91016478
18B-dev,18,B,dev,UV Transmitted,7.396915269,4.961031734,1.789076101,69.43578575,23.85274476,25.76850747,87.23578555,0.543671268,4.243274511,27.3402916,0.017113081,184.5719498,4.769718864
18C,18,C,sample,Site Reference,118.8054017,16.95093736,48.88390078,741.3487518,284.9599356,266.9812658,493.5604047,10.90318657,28.65527507,350.7947737,0.951678478,1704.509332,39.55846164
18C-2,18,C,sample,Site Reference,102.8082306,18.74297432,35.03730287,483.9672287,178.9184449,218.2251572,285.8948403,4.700548884,14.27991049,232.6987221,0.919453901,1105.369022,18.98045938
18C-3,18,C,sample,Site Reference,166.8874836,21.58352023,44.44819334,530.3743187,192.6401212,323.4701995,243.2360868,5.944106045,17.05786163,258.6718348,0.916560223,1199.169724,23.00196767
18C-4,18,C,sample,Site Reference,105.8588899,12.93728866,35.71450372,493.7289024,177.9749447,254.3921066,253.0089028,3.990852112,15.14956673,226.6267371,0.94291367,1079.223432,19.14041884
18C-mean,18,C,mean,Site Reference,123.5900015,17.55368014,41.02097518,562.3548004,208.6233616,265.7671823,318.9250587,6.384673402,18.78565348,267.1980169,0.932651568,1272.067877,25.17032688
18C-dev,18,C,dev,Site Reference,25.70913589,3.135618001,5.863753002,104.7803788,44.45347015,37.81781554,102.0566748,2.700820088,5.786137351,49.742697,0.015003698,253.6223772,8.461596395
19A,19,A,sample,UV Filtered,106.8284921,34.66929705,35.82880175,450.6352147,159.140961,287.2548445,207.1117427,3.109410278,12.43013521,229.6390598,0.849027003,994.2145093,15.53954549
19A-2,19,A,sample,UV Filtered,103.2532029,32.75467928,35.68995812,399.6258352,142.487118,318.4460442,144.7265153,2.420559939,10.33890219,210.9317554,0.844714329,858.5373089,12.75946213
19A-3,19,A,sample,UV Filtered,111.5448968,30.97462831,37.9685316,380.5991786,123.2934846,317.3139706,122.356143,2.18302196,9.602816848,192.2366445,0.838872404,806.736863,11.78583881
