Pigment,Treatment,Site,mean,n,sd
neoxanthin,Site Reference,16,4.335111639666667,3,0.681204532628846
neoxanthin,Site Reference,17,4.284284729666666,3,0.8290509955948584
neoxanthin,Site Reference,18,4.89363991275,4,1.1711453491066826
neoxanthin,Site Reference,19,3.91336195025,4,0.40981355457164076
neoxanthin,Site Reference,2,4.163931539666667,3,0.9159998906079433
neoxanthin,Site Reference,20,4.601076173666667,3,0.5378465989258465
neoxanthin,Site Reference,3,4.420647281,3,0.29580816960807776
neoxanthin,Site Reference,4,4.156876387333334,3,0.5711963622281401
neoxanthin,Site Reference,5,3.943599647666667,3,0.14847838848815537
neoxanthin,Site Reference,6,4.591359260666667,3,0.37597840262422544
neoxanthin,Site Reference,7,2.7298260286666665,3,1.1692785156297447
neoxanthin,Site Reference,8,4.1271566103333335,3,0.16661131332929638
neoxanthin,Site Reference,9,4.17857825575,4,0.4768156520621472
neoxanthin,Lab Control,L1,4.521476163333333,3,0.22210267080177862
neoxanthin,Lab Control,L2,5.073853657333333,3,0.39536032866164716
neoxanthin,Lab Control,L3,4.841603401333333,3,0.0848700938810453
violaxanthin,UV Filtered,1,0.8497826013333333,3,0.24087931540877272
violaxanthin,UV Filtered,11,1.321581179,4,0.35642333922976654
violaxanthin,UV Filtered,12,0.7797688386666666,3,0.2734195198353075
violaxanthin,UV Filtered,13,0.9331769373333333,3,0.15470677336768898
violaxanthin,UV Filtered,14,0.9651939323333333,3,0.06263304355519117
violaxanthin,UV Filtered,15,0.6226458643333334,3,0.10240048608766873
violaxanthin,UV Filtered,16,0.732841793,3,0.10306428776848572
violaxanthin,UV Filtered,17,1.0256182146666668,3,0.08526229352158152
violaxanthin,UV Filtered,18,0.9389581693333333,3,0.16421758391705843
violaxanthin,UV Filtered,19,1.4941583576666666,3,0.031964739120578727
violaxanthin,UV Filtered,2,0.944095724,4,0.3804975545004266
violaxanthin,UV Filtered,20,1.169336976,3,0.10096249817743422
violaxanthin,UV Filtered,3,1.2006091133333334,3,0.1665833939777101
violaxanthin,UV Filtered,4,0.96885964825,4,0.22865671296730902
